GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA105,B69AB105,B69AC105,B69AA105M,B69AB105M,B69AC105M
"G1302070","2006-2010","Georgia","13","130","Monroe County","207","2070","Monroe County",1363,12742,3317,263,745,409
"G1302090","2006-2010","Georgia","13","130","Montgomery County","209","2090","Montgomery County",358,4456,880,99,341,157
"G1302110","2006-2010","Georgia","13","130","Morgan County","211","2110","Morgan County",976,8375,2916,199,574,331
"G1302130","2006-2010","Georgia","13","130","Murray County","213","2130","Murray County",3190,20556,1706,422,972,267
"G1302150","2006-2010","Georgia","13","130","Muscogee County","215","2150","Muscogee County",5995,84960,25116,567,1745,998
"G1302170","2006-2010","Georgia","13","130","Newton County","217","2170","Newton County",2850,45565,11639,410,1492,766
"G1302190","2006-2010","Georgia","13","130","Oconee County","219","2190","Oconee County",587,10512,9061,288,674,573
"G1302210","2006-2010","Georgia","13","130","Oglethorpe County","221","2210","Oglethorpe County",596,7910,1124,228,669,238
"G1302230","2006-2010","Georgia","13","130","Paulding County","223","2230","Paulding County",3202,62660,17346,464,1874,923
"G1302250","2006-2010","Georgia","13","130","Peach County","225","2250","Peach County",1350,11885,2899,257,691,354
"G1302270","2006-2010","Georgia","13","130","Pickens County","227","2270","Pickens County",1492,14412,4483,275,697,382
"G1302290","2006-2010","Georgia","13","130","Pierce County","229","2290","Pierce County",1270,9648,1050,253,633,208
"G1302310","2006-2010","Georgia","13","130","Pike County","231","2310","Pike County",439,9072,1765,118,496,243
"G1302330","2006-2010","Georgia","13","130","Polk County","233","2330","Polk County",3136,20213,2992,400,927,413
"G1302350","2006-2010","Georgia","13","130","Pulaski County","235","2350","Pulaski County",358,7454,460,185,721,252
"G1302370","2006-2010","Georgia","13","130","Putnam County","237","2370","Putnam County",960,11015,2768,270,769,350
"G1302390","2006-2010","Georgia","13","130","Quitman County","239","2390","Quitman County",171,1303,118,65,234,268
"G1302410","2006-2010","Georgia","13","130","Rabun County","241","2410","Rabun County",771,8107,2916,240,563,306
"G1302430","2006-2010","Georgia","13","130","Randolph County","243","2430","Randolph County",422,3921,655,152,453,275
"G1302450","2006-2010","Georgia","13","130","Richmond County","245","2450","Richmond County",7206,91498,25115,669,2125,1187
"G1302470","2006-2010","Georgia","13","130","Rockdale County","247","2470","Rockdale County",2920,37683,12559,405,1245,714
"G1302490","2006-2010","Georgia","13","130","Schley County","249","2490","Schley County",278,2446,259,256,336,162
"G1302510","2006-2010","Georgia","13","130","Screven County","251","2510","Screven County",925,7531,1087,174,489,199
"G1302530","2006-2010","Georgia","13","130","Seminole County","253","2530","Seminole County",566,4757,612,196,397,137
"G1302550","2006-2010","Georgia","13","130","Spalding County","255","2550","Spalding County",3199,32494,5631,427,1146,526
"G1302570","2006-2010","Georgia","13","130","Stephens County","257","2570","Stephens County",1459,13750,2329,307,804,375
"G1302590","2006-2010","Georgia","13","130","Stewart County","259","2590","Stewart County",376,3203,442,102,293,257
"G1302610","2006-2010","Georgia","13","130","Sumter County","261","2610","Sumter County",2094,14111,3784,333,751,401
"G1302630","2006-2010","Georgia","13","130","Talbot County","263","2630","Talbot County",381,3992,534,179,323,200
"G1302650","2006-2010","Georgia","13","130","Taliaferro County","265","2650","Taliaferro County",260,1075,98,83,175,233
"G1302670","2006-2010","Georgia","13","130","Tattnall County","267","2670","Tattnall County",1791,12462,1926,346,722,350
"G1302690","2006-2010","Georgia","13","130","Taylor County","269","2690","Taylor County",639,4855,440,158,436,187
"G1302710","2006-2010","Georgia","13","130","Telfair County","271","2710","Telfair County",1319,9016,914,212,584,188
"G1302730","2006-2010","Georgia","13","130","Terrell County","273","2730","Terrell County",637,4973,614,127,337,134
"G1302750","2006-2010","Georgia","13","130","Thomas County","275","2750","Thomas County",1566,22175,5777,244,865,469
"G1302770","2006-2010","Georgia","13","130","Tift County","277","2770","Tift County",2003,18758,4040,300,949,409
"G1302790","2006-2010","Georgia","13","130","Toombs County","279","2790","Toombs County",1473,13086,2432,286,742,314
"G1302810","2006-2010","Georgia","13","130","Towns County","281","2810","Towns County",353,5741,1597,254,478,233
"G1302830","2006-2010","Georgia","13","130","Treutlen County","283","2830","Treutlen County",610,3493,449,171,405,237
"G1302850","2006-2010","Georgia","13","130","Troup County","285","2850","Troup County",2850,30639,8078,345,1092,546
"G1302870","2006-2010","Georgia","13","130","Turner County","287","2870","Turner County",499,4474,759,165,505,215
"G1302890","2006-2010","Georgia","13","130","Twiggs County","289","2890","Twiggs County",680,5248,424,246,511,268
"G1302910","2006-2010","Georgia","13","130","Union County","291","2910","Union County",1024,11567,3462,244,713,439
"G1302930","2006-2010","Georgia","13","130","Upson County","293","2930","Upson County",1385,14854,2075,223,708,259
"G1302950","2006-2010","Georgia","13","130","Walker County","295","2950","Walker County",3792,36375,5921,427,1223,468
"G1302970","2006-2010","Georgia","13","130","Walton County","297","2970","Walton County",3244,40644,9166,476,1481,688
"G1302990","2006-2010","Georgia","13","130","Ware County","299","2990","Ware County",1753,19206,2921,271,846,341
"G1303010","2006-2010","Georgia","13","130","Warren County","301","3010","Warren County",625,3213,191,196,301,240
